sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,PatientID_patientID,PatientID_patientnumber,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,sys_MXDVersion_MXD,sys_MXDDesignID_MXD,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
10739,04 Jul 2018 - 04:08:20 EDT,04 Jul 2018 - 04:23:58 EDT,0h 15m 38s,0h 15m 36s,1530691700,1530692638,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,ngal,120,14,11,6,7,3,6,3,14,10,8,5,4,1,15,12,11,6,13,1,11,5,9,14,15,239,MXD1_1528457107_3,16,36,25,28,91,138,93,93,68,59,5,40,56,60,57,46,41
10740,05 Jul 2018 - 03:29:36 EDT,05 Jul 2018 - 03:44:21 EDT,0h 14m 45s,0h 14m 43s,1530775776,1530776661,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,sekk,121,5,15,1,12,6,13,5,9,3,12,2,12,1,16,1,15,3,15,2,10,3,9,9,10,240,MXD1_1528457107_3,13,34,25,27,252,68,82,57,26,31,4,67,38,31,31,36,74
10741,05 Jul 2018 - 03:59:15 EDT,05 Jul 2018 - 04:17:49 EDT,0h 18m 34s,0h 18m 34s,1530777555,1530778669,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,matk,122,15,8,9,4,3,10,3,11,1,12,9,12,6,4,8,7,9,12,3,4,1,7,14,10,241,MXD1_1528457107_3,14,38,24,28,119,201,109,35,75,131,5,67,40,96,53,41,52
10742,05 Jul 2018 - 04:30:51 EDT,05 Jul 2018 - 04:43:17 EDT,0h 12m 26s,0h 12m 26s,1530779451,1530780197,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,joho,123,8,4,16,7,1,4,2,5,2,4,10,11,12,5,9,8,10,7,10,9,6,11,2,9,242,MXD1_1528457107_3,10,42,21,29,51,85,35,60,84,51,8,54,51,40,58,41,36
10743,05 Jul 2018 - 04:56:05 EDT,05 Jul 2018 - 05:09:50 EDT,0h 13m 45s,0h 13m 42s,1530780965,1530781790,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,that,124,8,3,12,11,5,4,1,9,16,9,2,4,2,13,1,7,16,6,15,8,1,12,12,8,243,MXD1_1528457107_3,137,40,24,30,112,56,94,52,70,49,7,78,32,65,54,29,30
10744,05 Jul 2018 - 06:48:55 EDT,05 Jul 2018 - 06:54:53 EDT,0h 5m 58s,0h 6m 5s,1530787735,1530788093,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,912,5d24abd8-2e75-45b2-9e2f-83642bde07b2,kagk,105,3,13,15,12,4,6,14,6,2,4,5,11,1,6,3,12,14,4,5,13,1,11,2,10,244,MXD1_1528457107_3,18,15,3,2,57,34,27,20,22,32,3,21,17,22,17,19,40
10745,09 Jul 2018 - 02:29:13 EDT,09 Jul 2018 - 02:57:26 EDT,0h 28m 13s,0h 28m 13s,1531117753,1531119446,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,gloo,307,3,13,1,11,10,15,1,4,16,13,1,6,3,9,6,12,10,6,16,7,11,4,3,10,245,MXD1_1528457107_3,31,451,46,27,164,129,104,139,87,64,45,63,141,41,32,125,35
10746,09 Jul 2018 - 02:59:53 EDT,09 Jul 2018 - 03:20:44 EDT,0h 20m 51s,0h 20m 50s,1531119593,1531120844,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,yetb,308,5,4,2,6,1,15,2,7,16,10,5,3,9,7,2,9,1,3,16,7,16,3,10,6,246,MXD1_1528457107_3,51,147,27,29,333,108,224,61,52,78,4,63,17,25,33,19,30
10747,09 Jul 2018 - 03:21:39 EDT,09 Jul 2018 - 03:38:49 EDT,0h 17m 10s,0h 17m 7s,1531120899,1531121929,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,neos,309,7,11,16,14,1,5,8,5,12,3,9,4,3,4,16,9,3,15,16,1,8,14,1,15,247,MXD1_1528457107_3,28,34,17,15,208,122,74,107,60,69,2,58,70,58,43,44,46
10748,09 Jul 2018 - 03:59:36 EDT,09 Jul 2018 - 04:16:19 EDT,0h 16m 43s,0h 16m 38s,1531123176,1531124179,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,pelt,310,15,6,14,15,1,7,7,12,1,12,3,4,3,16,15,4,3,7,14,12,6,2,1,14,248,MXD1_1528457107_3,53,95,43,32,295,43,50,69,20,51,9,61,21,63,32,46,68
